time,bid,bid_depth,bid_depth_total,offer,offer_depth,offer_depth_total
20170823T051036,3.47,7500,28110,3.48,1027,124575
20170823T081000,3.47,7500,7500,0,0,0
20170823T081000,3.47,7500,23110,3.49,56948,56948
20170823T081522,3.47,7500,23110,3.49,58948,104549
20170823T090537,3.42,4000,17710,3.49,58948,149274
20170823T142928,3.41,2000,63710,3.49,58948,150249
20170823T142928,3.4,3500,61710,3.49,58948,150249
20170823T142928,3.3,910,58210,3.49,58948,150249
20170823T142928,3.3,910,58210,3.48,1027,151276
20170823T142928,3.3,2347,59647,3.48,1027,151276
20170823T142928,3.3,2347,59647,3.36,500,151776
20170823T142928,3.3,910,60289,3.36,500,151776
20170823T142936,3.3,910,60289,3.39,550,151826
20170823T142940,3.3,910,60289,3.48,1027,151276
20170823T142940,3.3,2227,59527,3.48,1027,151276
20170823T142952,3.31,3000,62527,3.48,1027,151276
20170823T142952,3.32,1672,62882,3.48,1027,151276
20170823T142958,3.3,2203,59503,3.48,1027,151276
20170823T143001,3.31,1575,62785,3.48,1027,151276
20170823T143014,3.31,1575,62785,3.48,2077,152326
20170823T143026,3.31,1575,62785,3.48,1027,151276
20170823T143026,3.31,1575,62785,3.48,2077,152326
20170823T143202,3.31,1575,77785,3.46,2000,154326
20170823T143202,3.31,1575,77785,3.45,1027,154326
20170823T143208,3.32,2000,79785,3.45,1027,154326
20170823T143208,3.33,1798,80008,3.45,1027,154326
20170823T143225,3.35,2000,82008,3.45,1027,154326
20170823T143225,3.35,2000,82008,3.46,3027,154326
20170823T143240,3.35,2000,82008,3.46,4077,154326
20170823T143240,3.35,2000,82008,3.45,1027,154326
20170823T143244,3.35,2000,82008,3.45,2077,154326
20170823T143248,3.35,2000,82008,3.45,1027,154326
20170823T143248,3.35,2000,82008,3.46,3027,154326
20170823T143257,3.35,2000,82008,3.44,2000,154326
20170823T143311,3.35,2000,82008,3.45,2000,154326
20170823T143311,3.35,2000,82008,3.45,3027,154326
20170823T143332,3.35,2000,82008,3.44,2000,154326
20170823T143349,3.35,3000,83008,3.44,2000,154326
20170823T143439,3.35,6000,88005,3.44,2000,154326
20170823T151114,3.36,2000,74005,3.44,2000,154326
20170823T151137,3.36,4000,71110,3.44,2000,154326
20170823T160748,3.37,5000,76110,3.44,2000,154326
20170823T162000,3.37,5000,75110,3.42,1027,154326
20170823T162216,3.38,2000,77110,3.42,1027,154326
20170823T162311,3.38,3000,78110,3.42,1027,154326
20170823T173700,3.38,1000,76110,3.42,1027,154326
20170823T173700,3.37,5000,75110,3.42,1027,154326
