time,price,quantity,source,buyer,seller,initiator
20170504T090029,2.47,400,Auto trade,MSI,INT,
20170504T090029,2.47,46,Auto trade,MSI,NON,B
20170504T090029,2.47,4019,Auto trade,MSI,NON,B
20170504T090111,2.46,1465,Auto trade,DNM,DBL,B
20170504T090148,2.45,220,Auto trade,CAR,NON,S
20170504T090256,2.46,1000,Auto trade,DNM,DBL,B
20170504T090336,2.46,25000,Auto trade,DNM,DBL,B
20170504T090356,2.46,1735,Auto trade,DNM,DBL,B
20170504T090400,2.46,25365,Auto trade,NON,DBL,B
20170504T090400,2.46,19635,Auto trade,NON,DBL,B
20170504T090430,2.46,5635,Auto trade,DNM,DBL,B
20170504T090557,2.46,47096,Auto trade,DBL,DBL,B
20170504T090557,2.46,16212,Auto trade,MSI,DBL,B
20170504T090610,2.47,7261,Auto trade,DNM,DNM,
20170504T090937,2.46,7522,Auto trade,NTF,SKBN,S
20170504T091512,2.46,21400,Auto trade,NTF,MSI,S
20170504T092047,2.46,5078,Auto trade,NTF,NON,S
20170504T092047,2.46,2922,Auto trade,MLI,NON,S
20170504T093030,2.47,200,Auto trade,PAS,NON,B
20170504T094143,2.46,999,Auto trade,MLI,NON,S
20170504T094230,2.46,3979,Auto trade,MLI,NON,S
20170504T094230,2.46,4950,Auto trade,UBS,NON,S
20170504T094829,2.46,9000,Auto trade,DNM,NON,B
20170504T094901,2.46,71,Auto trade,NON,NON,B
20170504T094901,2.46,599,Auto trade,NON,NON,B
20170504T100058,2.46,7900,Auto trade,NTF,MLI,B
20170504T100058,2.46,5106,Auto trade,NTF,GSI,B
20170504T100058,2.46,39401,Auto trade,NTF,NON,B
20170504T100058,2.46,1495,Auto trade,NTF,NON,B
20170504T100058,2.46,6098,Auto trade,NTF,NRD,B
20170504T100058,2.46,2591,Auto trade,UBS,NRD,B
20170504T101133,2.46,1311,Auto trade,NTF,NRD,B
20170504T101133,2.46,2000,Auto trade,NTF,NON,B
20170504T101133,2.46,7900,Auto trade,NTF,MLI,B
20170504T101133,2.46,377,Auto trade,NTF,GSI,B
20170504T101247,2.47,2000,Auto trade,NON,NON,B
20170504T101508,2.46,2000,Auto trade,NTF,NON,S
20170504T102322,2.46,36412,Auto trade,NTF,DNM,S
20170504T102322,2.46,7900,Auto trade,MLI,DNM,S
20170504T104038,2.45,3157,Auto trade,CAR,NON,S
20170504T104815,2.45,29000,Auto trade,NTF,NTF,S
20170504T105207,2.46,300,Auto trade,NON,NON,B
20170504T105233,2.45,5000,Auto trade,CAR,NON,S
20170504T105945,2.45,420,Auto trade,NON,NON,S
20170504T105945,2.45,4580,Auto trade,NON,NON,S
