time,bid,bid_depth,bid_depth_total,offer,offer_depth,offer_depth_total
20170504T051035,2.46,120049,735847,2.47,198197,860047
20170504T081000,2.45,95000,95000,0,0,0
20170504T081000,2.45,95000,378100,2.52,8000,8000
20170504T081513,2.45,95000,378100,2.46,999,342051
20170504T081706,2.45,295000,618185,2.46,999,555146
20170504T082715,2.47,1000,677185,2.47,1000,690277
20170504T082728,2.45,295000,676185,2.46,999,740277
20170504T082816,2.45,345000,777385,2.46,999,1149677
20170504T084909,2.45,445000,982095,2.46,999,1180090
20170504T085625,2.45,445000,982095,2.47,110220,1196960
20170504T085921,2.45,445000,982095,2.47,265775,1352515
20170504T085931,2.47,71,982166,2.47,71,1352515
20170504T085943,2.45,445000,982166,2.46,6,1352521
20170504T085943,2.47,71,982166,2.47,71,1352521
20170504T085950,2.45,445000,982095,2.46,6,1352521
20170504T085950,2.45,445000,982095,2.47,265775,1352515
20170504T090000,2.47,4019,986114,2.47,4019,1352515
20170504T090002,2.47,4465,986560,2.47,4465,1352915
20170504T090029,2.45,445000,982095,2.47,267645,1354385
20170504T090029,2.45,445000,982095,2.47,263626,1350366
20170504T090030,2.45,445000,982095,2.46,54565,1404931
20170504T090030,2.45,445000,982095,2.46,143143,1493509
20170504T090030,2.45,452900,989995,2.46,143143,1493509
20170504T090030,2.45,445000,982095,2.46,143143,1503509
20170504T090111,2.45,445000,982095,2.46,141678,1502044
20170504T090148,2.45,444780,1546604,2.46,141678,1554461
20170504T090256,2.45,444780,1546604,2.46,140678,1639959
20170504T090331,2.45,469780,1571604,2.46,140678,1640097
20170504T090336,2.45,469780,1571604,2.46,115678,1615097
20170504T090356,2.45,469780,1646604,2.46,113943,1663362
20170504T090356,2.45,470300,1647124,2.46,113943,1663362
20170504T090400,2.45,470300,1647644,2.46,88578,1637997
20170504T090400,2.45,470300,1647644,2.46,68943,1618362
20170504T090430,2.45,469780,1646604,2.46,68943,1618362
20170504T090430,2.45,469780,1646604,2.46,63308,1612727
20170504T090557,2.45,469780,1734113,2.46,16212,1565631
20170504T090557,2.45,469780,1734113,2.47,279441,1549419
20170504T090557,2.46,11700,1745813,2.47,279441,1549419
20170504T090557,2.46,11700,1753713,2.47,273406,1543384
20170504T090558,2.46,11700,1754059,2.47,263406,1549277
20170504T090558,2.45,477680,1742359,2.47,263406,1549277
20170504T090610,2.45,479858,1744537,2.47,263406,1549277
20170504T090641,2.45,477680,1683201,2.47,263406,1496640
20170504T090843,2.46,34000,1717201,2.47,263406,1531887
20170504T090937,2.46,26478,1709679,2.47,263406,1536365
20170504T091512,2.46,5078,1688279,2.47,263406,1556365
20170504T091550,2.46,12978,1696179,2.47,263406,1556365
20170504T091607,2.46,12978,1696179,2.47,268565,1561524
20170504T091607,2.46,12978,1696179,2.47,276465,1569424
20170504T092047,2.46,7900,1491101,2.47,276465,1569424
20170504T092047,2.46,4978,1488179,2.47,276465,1569424
20170504T092047,2.46,4978,1488179,2.47,275996,1568955
20170504T092657,2.46,4978,1488179,2.47,317163,1610122
20170504T092804,2.46,4978,1488179,2.47,354271,1647230
20170504T092804,2.46,4978,1488179,2.47,362271,1655230
20170504T092804,2.46,4978,1488179,2.47,372271,1665230
20170504T093030,2.46,4978,1528256,2.47,372071,1665030
20170504T093512,2.46,9928,1575928,2.47,372071,1638218
20170504T093512,2.46,9928,1575928,2.47,362071,1628218
20170504T094143,2.46,8929,1574929,2.47,362071,1627505
20170504T094230,2.46,4950,1570950,2.47,362071,1698637
20170504T094230,2.45,317757,1566000,2.47,362071,1698637
20170504T094230,2.45,317757,1566000,2.46,9071,1707708
20170504T094230,2.45,317757,1566000,2.46,16971,1715608
20170504T094230,2.45,325657,1573900,2.46,16971,1725608
20170504T094230,2.45,325657,1573900,2.46,22077,1720131
20170504T094230,2.45,287590,1535833,2.46,22077,1720131
20170504T094230,2.45,279690,1527933,2.46,22077,1720131
20170504T094411,2.45,277680,1527933,2.46,22077,1731820
20170504T094558,2.45,277680,1601784,2.46,62077,1771820
20170504T094558,2.45,277680,1601784,2.46,70077,1779820
20170504T094558,2.45,277680,1601784,2.46,62077,1771820
20170504T094829,2.45,277680,1601784,2.46,53077,1762820
20170504T094901,2.45,277680,1601784,2.46,53006,1762749
20170504T094901,2.45,277680,1601784,2.46,52407,1762150
20170504T095610,2.45,277680,1595059,2.46,53902,1755645
20170504T095852,2.45,277680,1595059,2.46,63902,1765645
20170504T100016,2.45,277680,1595059,2.46,65902,1747645
20170504T100058,2.45,277680,1595059,2.46,58002,1739745
20170504T100058,2.45,277680,1595059,2.46,52896,1734639
20170504T100058,2.45,277680,1595059,2.46,13495,1695238
20170504T100058,2.45,277680,1595059,2.46,12000,1693743
20170504T100058,2.45,277680,1595059,2.46,5902,1687645
