time,bid,bid_depth,bid_depth_total,offer,offer_depth,offer_depth_total
20170814T051036,3.52,3000,46110,3.8,3000,32188
20170814T081000,3.52,3000,3000,0,0,0
20170814T081000,3.52,3000,42110,3.8,3000,3000
20170814T081712,3.52,3000,22110,3.7,450,26388
20170814T081716,3.6,2000,24110,3.7,450,26388
20170814T084926,3.6,2000,24110,3.65,2000,59688
20170814T085126,3.6,250,24110,3.6,250,59938
20170814T090011,3.6,2000,24110,3.65,2000,59688
20170814T090011,3.6,1750,23860,3.65,2000,59688
20170814T091459,3.6,256,23254,3.65,2000,59688
20170814T094409,3.6,256,22366,3.7,4194,68932
20170814T111145,3.6,256,23440,3.69,1744,72282
20170814T111152,3.6,256,22366,3.69,2194,72282
20170814T111202,3.6,256,23398,3.67,450,72282
20170814T111213,3.6,256,22366,3.67,2194,72282
20170814T111222,3.6,256,22366,3.67,450,70538
20170814T111227,3.6,256,23597,3.7,2000,70088
20170814T111236,3.6,256,23597,3.69,2194,72282
20170814T154046,3.6,2256,24366,3.69,2194,74082
20170814T173700,3.6,2000,24110,3.69,2194,74082
20170814T173700,3.6,2000,24110,3.7,3800,71888
