time,bid,bid_depth,bid_depth_total,offer,offer_depth,offer_depth_total
20170822T051035,101.5,48,1054,104.0,240,2936
20170822T081000,101.0,200,200,0,0,0
20170822T081000,101.0,200,506,104.0,240,240
20170822T081504,101.0,200,506,108.0,51,2376
20170822T081957,101.5,10,1422,108.0,51,2486
20170822T085800,101.5,10,1422,107.5,60,2866
20170822T090014,101.5,47,1459,107.5,60,2866
20170822T093122,101.5,247,1659,107.5,60,2866
20170822T095030,101.5,247,1659,107.5,70,2866
20170822T105945,101.5,210,1700,107.5,70,2866
20170822T110046,102.0,46,1746,107.5,70,2866
20170822T115623,103.5,100,1768,107.5,70,2866
20170822T120222,102.0,46,1668,107.5,70,2866
20170822T120222,103.5,150,1818,107.5,70,2866
20170822T120342,102.0,46,1668,107.5,70,2866
20170822T120343,105.0,100,1768,107.5,70,2866
20170822T130327,105.0,40,1708,107.5,70,2866
20170822T130427,105.0,40,1706,107.5,10,2849
20170822T130427,102.0,44,1666,107.5,10,2849
20170822T130427,102.0,44,1666,105.0,20,2869
20170822T130427,101.5,210,1622,105.0,20,2869
20170822T130427,102.0,41,1663,105.0,20,2869
20170822T130442,101.5,251,1663,105.0,20,2869
20170822T130442,101.5,251,1663,107.0,20,2869
20170822T130442,102.0,41,1663,107.0,20,2869
20170822T132214,102.5,50,1713,107.0,20,2869
20170822T143746,102.5,50,1716,107.0,30,2895
20170822T155137,102.5,50,1716,107.0,20,2885
20170822T155151,102.5,50,1716,107.0,30,2895
