time,bid,bid_depth,bid_depth_total,offer,offer_depth,offer_depth_total
20170822T051037,0.78,22699,97020,0.84,5000,146413
20170822T081000,0,0,0,0.84,5000,5000
20170822T081516,0.82,4878,4878,0.84,5000,96664
20170822T081910,0.82,4878,34443,0.82,4878,310604
20170822T090021,0.79,15432,157997,0.82,57581,357094
20170822T090021,0.79,15432,157997,0.82,52703,352216
20170822T094232,0.79,15432,157997,0.82,82203,381716
20170822T095254,0.79,15432,157997,0.81,29500,381716
20170822T103949,0.79,15432,157997,0.81,29441,532799
20170822T161151,0.79,15432,157997,0.8,29441,528799
20170822T173700,0.79,15432,156696,0.82,52703,499358
20170822T173700,0.79,15432,156696,0.85,13220,446655
