time,price,quantity,source,buyer,seller,initiator
20170821T090012,0.81,200,Auto trade,,,S
20170821T115945,0.81,2800,Auto trade,NON,NON,S
20170821T121616,0.8,6928,Auto trade,NRD,NON,B
20170821T141539,0.81,100,Auto trade,NTF,NON,B
20170821T144319,0.81,72,Auto trade,NRD,NON,B
20170821T160939,0.81,2928,Auto trade,DNM,NON,B
20170821T160939,0.82,2072,Auto trade,DNM,DNM,B
